Periodo;ID Estudiante;Comunicación Verbal40;Autonomía e Iniciativa44;Compromiso Ético45;Disposición al Aprendizaje46;Taller Manejo Tiempo (Opcional);Taller Comunicación (Opcional);Taller Situaciones Difíciles (Opcional);Sesión Individual (Opcional)
201520;161301393983409000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161804171115228000;1;5;1;3;No Aplica;No Aplica;No Aplica;No Aplica
201520;161944990462123000;3;5;5;5;No Aplica;No Aplica;No Aplica;No Aplica
201520;161641622957491000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161784413252846000;5;5;5;5;Asiste;No Asiste;Asiste;No Asiste
201520;161641910823122000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161786985889901000;3;3;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161623505628548000;3;3;5;5;No Aplica;No Aplica;No Aplica;Asiste
201520;161641775735308000;3;1;3;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161952324318196000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161804899991041000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161808373838941000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161806655413920000;3;5;5;3;No Asiste;No Asiste;No Asiste;No Asiste
201520;161787914232372000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161301157828908000;5;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161784949016100000;5;5;5;5;Asiste;No Asiste;No Asiste;Asiste
201520;161968119393917000;3;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161645075753779000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161623098780253000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161782572679538000;3;5;5;5;No Asiste;Asiste;No Asiste;No Asiste
201520;161783805090228000;-1;-1;-1;-1;Asiste;Asiste;Asiste;No Asiste
201520;161480834596368000;3;3;5;5;No Asiste;Asiste;Asiste;No Asiste
201520;161808426936489000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161966424267875000;3;5;5;5;No Aplica;No Aplica;No Aplica;No Aplica
201520;161808095479213000;5;5;5;5;Asiste;No Asiste;No Asiste;Asiste
201520;161952871627547000;5;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161807406821491000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161813146216962000;5;5;5;5;Asiste;Asiste;No Asiste;Asiste
201520;161809366603622000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161804631288287000;3;5;5;5;No Asiste;Asiste;No Asiste;No Asiste
201520;161806790570614000;3;3;5;3;No Asiste;No Asiste;No Asiste;No Asiste
201520;161967745918092000;5;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161468827637786000;5;3;5;3;No Asiste;No Asiste;No Asiste;No Asiste
201520;161641624565678000;3;5;5;5;No Aplica;No Aplica;No Aplica;No Aplica
201520;161805493712287000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161803527517640000;3;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161794147228091000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161631805123915000;3;3;5;5;Asiste;No Asiste;No Asiste;No Asiste
201520;161807258792453000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161955233117024000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161966512807002000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161782743221730000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161945970768213000;3;3;5;5;Asiste;Asiste;Asiste;Asiste
201520;161964107770941000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161966685055919000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161809350513409000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161783184057622000;5;3;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161804743918157000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161965968694202000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161945302743216000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161803648192091000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161809271671374000;5;3;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161632292390195000;5;5;5;5;No Aplica;No Aplica;No Aplica;No Aplica
201520;161805440615221000;3;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161965627416817000;5;5;5;3;No Asiste;No Asiste;No Asiste;No Asiste
201520;161952094126598000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161790585041856000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161950048165112000;3;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161805327985109000;-1;-1;-1;-1;No Asiste;No Asiste;No Asiste;No Asiste
201520;161783159924255000;3;5;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161804444644590000;5;3;5;3;No Aplica;No Aplica;No Aplica;No Aplica
201520;161642542841860000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161965556585707000;5;5;5;5;No Asiste;No Asiste;Asiste;No Asiste
201520;161627479260757000;5;3;3;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161807838036902000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161966553052068000;3;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161946133347999000;3;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161953431815722000;5;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161785843565732000;5;3;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161953410889135000;3;3;5;5;Asiste;No Asiste;No Asiste;No Asiste
201520;161804462343557000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161949695636468000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161790042833569000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161954933704318000;3;3;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161952053883329000;5;5;5;5;No Aplica;No Aplica;No Aplica;No Aplica
201520;161475633133535000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161945766336320000;5;3;5;5;No Asiste;Asiste;No Asiste;Asiste
201520;161949381741422000;3;3;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161967942314808000;5;5;5;5;No Aplica;No Aplica;No Aplica;No Aplica
201520;161945594098527000;5;5;5;5;No Aplica;No Aplica;No Aplica;No Aplica
201520;161949872705602000;3;5;5;5;Asiste;Asiste;Asiste;Asiste
201520;161793415158612000;5;5;5;5;No Asiste;Asiste;Asiste;No Asiste
201520;161786434034200000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161813157480244000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161643668578041000;3;3;5;5;Asiste;No Asiste;No Asiste;No Asiste
201520;161807393949398000;3;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161967024724613000;-1;-1;-1;-1;No Asiste;No Asiste;No Asiste;No Asiste
201520;161950049774832000;3;3;5;5;No Aplica;No Aplica;No Aplica;No Aplica
201520;161804945043021000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161946699963336000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161792126398566000;5;5;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161951022047607000;5;5;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161946073789058000;3;3;5;3;No Asiste;No Asiste;No Asiste;No Asiste
201520;161788229579814000;-1;-1;-1;-1;No Asiste;No Asiste;No Asiste;No Asiste
201520;161806547610408000;3;5;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161967066579548000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161965194381408000;5;5;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161949025994072000;3;5;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161949029213504000;5;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161642258192047000;5;5;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161805952278223000;3;1;3;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161949793829339000;5;5;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161806066517558000;5;5;3;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161947746272673000;-1;-1;-1;-1;No Asiste;No Asiste;No Asiste;No Asiste
201520;161783557320600000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161808463943876000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161946331341314000;3;5;5;3;No Asiste;No Asiste;No Asiste;Asiste
201520;161643853520788000;5;5;5;5;No Aplica;No Aplica;No Aplica;No Aplica
201520;161467908247844000;5;5;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161643556004246000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161641015063313000;5;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161641471787933000;5;5;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161480212538152000;1;1;3;1;No Aplica;No Aplica;No Aplica;No Aplica
201520;161622979781243000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201610;161158762453306000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161308372667922000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161321422763218000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161460117648284000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161462039965679000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161463435099517000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161464785234776000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161468073802134000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161478087583463000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161478137412044000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161478158307902000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161478648557284000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161478704815457000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161478976462203000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161481109459683000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161483496440408000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161621699740616000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161622299558018000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161623467034221000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161623928558346000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161624190678613000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161624412596551000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161625099256643000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161625982107476000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161626199202312000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161626276391622000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161629309302864000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161629338249132000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161629442777343000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161629569819367000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161629963810773000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161630375492102000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161631764920459000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161631843719237000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161632517529979000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161632559341670000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161632821468936000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161632887402821000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161640860677672000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161640966817793000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161641434799647000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161641491086170000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161641885092106000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161641925296820000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161642078074780000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161642377198153000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161642425443884000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161642547666435000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161642822667345000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161643314774819000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161643652496068000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161643879251962000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161643951620897000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161644048112837000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161645072537371000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161645077361984000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161645259089127000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161645279995796000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161645387745573000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161781539774978000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161781937169333000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161782054617960000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161782072315702000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161782550155104000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161782659559511000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161782849408423000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161783431826965000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161783771303449000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161784128478144000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161784221794121000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161784656196434000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161785010154305000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161785080945926000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161785146910860000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161785243444932000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161785330325623000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161785331934525000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161785710026691000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161785862872586000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161786036634322000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161786113861791000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161786408291683000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161786421162942000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161786812127655000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161786852350388000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161787244924534000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161787386508769000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161787590840672000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161787714727006000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161788158787504000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161788256931392000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161788660769671000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161789019558683000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161789947906989000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161790708929337000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161791325149590000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161791516612518000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161791674287956000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161793617885379000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161803015858472000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161803194456392000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161803569351445000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161803781738534000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161804352931778000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161804420509637000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161804459125562000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161804758399143000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161804790579114000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161804822759089000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161804932171026000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161804983659010000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161805007794005000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161805113988004000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161805167085017000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161805176739020000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161805403608180000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
201610;161805532328341000;-1;-1;-1;-1;No Aplica;No Aplica;No Aplica;No Aplica
